AR,Date
52.0099983215332,2013-10-10
53.29999923706055,2013-10-11
55.63999938964844,2013-10-14
57.060001373291016,2013-10-15
57.560001373291016,2013-10-16
54.900001525878906,2013-10-17
55.130001068115234,2013-10-18
55.130001068115234,2013-10-21
54.349998474121094,2013-10-22
54.81999969482422,2013-10-23
55.20000076293945,2013-10-24
56.380001068115234,2013-10-25
57.0,2013-10-28
56.33000183105469,2013-10-29
56.84000015258789,2013-10-30
56.4900016784668,2013-10-31
55.150001525878906,2013-11-01
54.97999954223633,2013-11-04
55.189998626708984,2013-11-05
55.040000915527344,2013-11-06
54.0,2013-11-07
55.63999938964844,2013-11-08
54.279998779296875,2013-11-11
54.2400016784668,2013-11-12
54.06999969482422,2013-11-13
53.79999923706055,2013-11-14
53.52000045776367,2013-11-15
52.060001373291016,2013-11-18
52.70000076293945,2013-11-19
52.66999816894531,2013-11-20
53.4900016784668,2013-11-21
55.400001525878906,2013-11-22
55.18000030517578,2013-11-25
55.099998474121094,2013-11-26
54.86000061035156,2013-11-27
54.900001525878906,2013-11-29
54.22999954223633,2013-12-02
54.34000015258789,2013-12-03
54.400001525878906,2013-12-04
54.689998626708984,2013-12-05
54.18000030517578,2013-12-06
54.29999923706055,2013-12-09
56.84000015258789,2013-12-10
56.04999923706055,2013-12-11
56.68000030517578,2013-12-12
56.40999984741211,2013-12-13
56.56999969482422,2013-12-16
58.459999084472656,2013-12-17
59.540000915527344,2013-12-18
59.0,2013-12-19
59.90999984741211,2013-12-20
60.33000183105469,2013-12-23
61.08000183105469,2013-12-24
61.0,2013-12-26
62.380001068115234,2013-12-27
62.25,2013-12-30
63.439998626708984,2013-12-31
60.97999954223633,2014-01-02
60.720001220703125,2014-01-03
58.95000076293945,2014-01-06
57.290000915527344,2014-01-07
57.939998626708984,2014-01-08
56.099998474121094,2014-01-09
55.130001068115234,2014-01-10
54.45000076293945,2014-01-13
55.369998931884766,2014-01-14
56.029998779296875,2014-01-15
57.04999923706055,2014-01-16
56.5099983215332,2014-01-17
57.20000076293945,2014-01-21
58.18000030517578,2014-01-22
58.52000045776367,2014-01-23
57.9900016784668,2014-01-24
57.02000045776367,2014-01-27
58.959999084472656,2014-01-28
59.86000061035156,2014-01-29
58.869998931884766,2014-01-30
58.7400016784668,2014-01-31
57.529998779296875,2014-02-03
57.58000183105469,2014-02-04
56.779998779296875,2014-02-05
57.04999923706055,2014-02-06
55.68000030517578,2014-02-07
55.41999816894531,2014-02-10
56.72999954223633,2014-02-11
56.75,2014-02-12
56.790000915527344,2014-02-13
57.13999938964844,2014-02-14
57.13999938964844,2014-02-18
58.36000061035156,2014-02-19
57.63999938964844,2014-02-20
57.13999938964844,2014-02-21
58.27000045776367,2014-02-24
58.61000061035156,2014-02-25
58.58000183105469,2014-02-26
60.66999816894531,2014-02-27
60.34000015258789,2014-02-28
59.4900016784668,2014-03-03
59.349998474121094,2014-03-04
59.36000061035156,2014-03-05
61.0099983215332,2014-03-06
61.2400016784668,2014-03-07
60.779998779296875,2014-03-10
60.59000015258789,2014-03-11
60.2400016784668,2014-03-12
59.529998779296875,2014-03-13
60.150001525878906,2014-03-14
61.040000915527344,2014-03-17
63.349998474121094,2014-03-18
62.83000183105469,2014-03-19
63.95000076293945,2014-03-20
63.83000183105469,2014-03-21
65.69999694824219,2014-03-24
67.41000366210938,2014-03-25
65.4800033569336,2014-03-26
63.689998626708984,2014-03-27
64.04000091552734,2014-03-28
62.599998474121094,2014-03-31
65.08000183105469,2014-04-01
65.88999938964844,2014-04-02
66.08000183105469,2014-04-03
66.02999877929688,2014-04-04
63.36000061035156,2014-04-07
64.47000122070312,2014-04-08
64.86000061035156,2014-04-09
64.45999908447266,2014-04-10
63.220001220703125,2014-04-11
59.060001373291016,2014-04-14
60.209999084472656,2014-04-15
62.0099983215332,2014-04-16
63.36000061035156,2014-04-17
64.52999877929688,2014-04-21
63.709999084472656,2014-04-22
63.54999923706055,2014-04-23
63.290000915527344,2014-04-24
62.720001220703125,2014-04-25
64.2699966430664,2014-04-28
66.5,2014-04-29
65.66999816894531,2014-04-30
65.86000061035156,2014-05-01
65.6500015258789,2014-05-02
66.95999908447266,2014-05-05
66.43000030517578,2014-05-06
66.58000183105469,2014-05-07
62.93000030517578,2014-05-08
64.13999938964844,2014-05-09
63.790000915527344,2014-05-12
63.13999938964844,2014-05-13
62.0099983215332,2014-05-14
62.209999084472656,2014-05-15
62.16999816894531,2014-05-16
62.630001068115234,2014-05-19
62.439998626708984,2014-05-20
62.470001220703125,2014-05-21
60.9900016784668,2014-05-22
60.56999969482422,2014-05-23
62.029998779296875,2014-05-27
62.0,2014-05-28
61.599998474121094,2014-05-29
61.5,2014-05-30
61.810001373291016,2014-06-02
63.04999923706055,2014-06-03
64.05999755859375,2014-06-04
63.52000045776367,2014-06-05
63.43000030517578,2014-06-06
62.2599983215332,2014-06-09
60.95000076293945,2014-06-10
61.29999923706055,2014-06-11
62.0,2014-06-12
61.97999954223633,2014-06-13
62.38999938964844,2014-06-16
63.5,2014-06-17
63.790000915527344,2014-06-18
64.76000213623047,2014-06-19
64.51000213623047,2014-06-20
64.58000183105469,2014-06-23
63.34000015258789,2014-06-24
63.650001525878906,2014-06-25
64.56999969482422,2014-06-26
64.80999755859375,2014-06-27
65.62999725341797,2014-06-30
64.88999938964844,2014-07-01
65.08999633789062,2014-07-02
65.70999908447266,2014-07-03
64.36000061035156,2014-07-07
63.959999084472656,2014-07-08
63.7599983215332,2014-07-09
62.209999084472656,2014-07-10
61.86000061035156,2014-07-11
61.43000030517578,2014-07-14
60.33000183105469,2014-07-15
60.400001525878906,2014-07-16
59.40999984741211,2014-07-17
60.63999938964844,2014-07-18
60.20000076293945,2014-07-21
59.540000915527344,2014-07-22
59.709999084472656,2014-07-23
59.369998931884766,2014-07-24
58.56999969482422,2014-07-25
57.900001525878906,2014-07-28
57.90999984741211,2014-07-29
58.18000030517578,2014-07-30
57.7599983215332,2014-07-31
57.279998779296875,2014-08-01
57.65999984741211,2014-08-04
57.380001068115234,2014-08-05
57.15999984741211,2014-08-06
56.099998474121094,2014-08-07
57.09000015258789,2014-08-08
56.459999084472656,2014-08-11
55.619998931884766,2014-08-12
55.220001220703125,2014-08-13
55.33000183105469,2014-08-14
55.52000045776367,2014-08-15
55.869998931884766,2014-08-18
57.06999969482422,2014-08-19
56.91999816894531,2014-08-20
56.88999938964844,2014-08-21
56.38999938964844,2014-08-22
57.400001525878906,2014-08-25
57.47999954223633,2014-08-26
56.72999954223633,2014-08-27
57.29999923706055,2014-08-28
57.849998474121094,2014-08-29
56.63999938964844,2014-09-02
56.5099983215332,2014-09-03
55.5099983215332,2014-09-04
56.16999816894531,2014-09-05
55.959999084472656,2014-09-08
55.84000015258789,2014-09-09
56.45000076293945,2014-09-10
56.599998474121094,2014-09-11
56.77000045776367,2014-09-12
56.7599983215332,2014-09-15
